Presence,Coords
0,"-124.143795,40.914418"
0,"-124.145361,40.910113"
0,"-124.147861,40.905619"
0,"-124.149177,40.903033"
0,"-124.149795,40.900587"
0,"-124.150492,40.898120"
0,"-124.152532,40.894640"
0,"-124.153729,40.892143"
0,"-124.154479,40.889816"
0,"-124.155847,40.887150"
0,"-124.157531,40.883410"
0,"-124.158755,40.879620"
0,"-124.160531,40.877641"
0,"-124.161307,40.875621"
0,"-124.155887,40.889716"
0,"-124.142059,40.903401"
0,"-124.140243,40.903739"
0,"-124.140638,40.900905"
0,"-124.141098,40.901840"
0,"-124.139940,40.901243"
0,"-124.142032,40.897554"
0,"-124.141677,40.896848"
0,"-124.142309,40.895744"
0,"-124.142440,40.895316"
0,"-124.143072,40.894202"
0,"-124.143414,40.893367"
0,"-124.143940,40.894570"
0,"-124.1448874,40.8960469"
0,"-124.1455847,40.8933815"
0,"-124.1447558,40.8913824"
0,"-124.1452952,40.8903431"
0,"-124.155827,40.875372"
0,"-124.1527749,40.8813213"
0,"-124.1514987,40.8835097"
0,"-124.1517947,40.8848128"
0,"-124.1513606,40.8870707"
0,"-124.1490351,40.8884011"
0,"-124.1491436,40.8899502"
0,"-124.1485878,40.8909274"
0,"-124.1479760,40.8918275"
0,"-124.147828,40.893227"
0,"-124.1464662,40.8971235"
0,"-124.1460419,40.8966039"
0,"-124.1452393,40.8996048"
0,"-124.1444894,40.9012630"
